ID,Método,Nome do Método (from Método),Passos,Nome do Passo,Descrição,Resultado
164,M013,Hackathon Cívico,Passo 13,"Véspera: preparar, checar e testar votação","No dia anterior, prepare e chegue no local com antecedência. É recomendado negociar acesso ao local dias antes para checagens. 

Faça checklist obrigatório: microfones, telas, projetores, réguas e extensões, Wi-Fi, arranjo das mesas por equipe, e sistema de votação do júri, que pode ser online ou offline, mas precisa ser justo e funcionar. 

Teste o sistema de votação com simulação completa e prepare sinalização física do espaço. 

Organize alimentação e convites a parceiros e mídia, se isso estiver previsto.","Checklist de véspera concluído, votação testada e espaço sinalizado e pronto para abertura."
165,M013,Hackathon Cívico,Passo 14,"Dia do hackathon: credenciar, abrir, prototipar e acompanhar","No dia do evento, registre participantes e abra com uma fala curta: desafio, regras, critérios de avaliação, tempo de pitch e como entregar arquivos.

São ações básicas do dia: registrar, receber convidados, organizar espaço de pitch. 

Durante a prototipagem, faça rodadas de acompanhamento com as equipes para forçar redução de escopo e preparar o pitch. 

Regra prática: se a equipe não consegue descrever o produto final em 60 segundos, ela está ampla demais e precisa cortar.",Equipes em execução com acompanhamento e entregas preparadas para apresentação e upload no padrão definido.
166,M013,Hackathon Cívico,Passo 15,"Pitch, julgamento, premiação e registro do resultado","Organize o pitch com regra igual para todas as equipes. Recomenda-se 5 minutos de apresentação e 5 minutos de perguntas. 
Defina a ordem de apresentação e registre notas por critério. 
Se houver empate, aplique regra de desempate prevista no guia, por discussão final e decisão por maioria simples. 
Finalize com cerimônia de premiação e registre o resultado: notas, vencedores, justificativa curta e links para os produtos entregues.","Vencedores definidos com notas registradas, critérios aplicados e pacote de resultados publicado internamente."
167,M013,Hackathon Cívico,Passo 16,"Pós-evento: dossiê, comunicação e conversão em recomendações","Produza um dossiê visual do hackathon e um comunicado com os projetos premiados. 

Para auditoria, use o material como evidência experiencial e de design de solução. 
Converta cada produto em: 
hipótese auditável;
evidência a solicitar ou checar; 
recomendação transformativa para o órgão responsável, com o mecanismo de mudança.

Nota de Atenção:
Se houver mentoria pós-evento, trate como apoio do parceiro executor, não como execução direta pela equipe de auditoria.","Dossiê produzido, resultados comunicados e relatório técnico de recomendações elaborado a partir dos produtos, com encaminhamentos para os responsáveis."
168,M014,Estúdio de Design para Auditoria,Passo 1,Delimitar o problema público e o desafio de compreensão,"A equipe define com precisão **qual problema público será trabalhado** e **o que, nesse problema, está difícil de compreender ou explicar**. O foco não deve recair apenas sobre a existência de uma falha institucional, mas sobre o ponto em que o tema perde clareza para cidadãos e cidadãs, para equipes internas ou para ambos.

Na prática, isso significa formular uma pergunta simples, concreta e orientada à compreensão. Em vez de partir de algo amplo como “avaliar a política pública”, a equipe deve formular algo como: **onde o cidadão e a cidadã se confundem, desistem ou deixam de compreender o funcionamento desse processo?** Ou ainda: **qual parte desse problema o Tribunal não consegue hoje explicar de forma clara?**

Esse passo é importante porque o Estúdio de Design para Auditoria só gera valor quando existe um **desafio real de inteligibilidade**. Se o problema já está claro, bem delimitado e facilmente comunicável, a ferramenta tende a agregar pouco. Seu uso faz mais sentido quando há excesso de complexidade, muitos atores, linguagem técnica demais ou distância entre o funcionamento institucional e a experiência vivida.

A equipe também deve identificar **qual será o foco principal da tradução visual**. Esse foco pode recair sobre:

* um processo difícil de entender
* uma jornada cidadã marcada por barreiras
* um fluxo institucional confuso
* um desencontro entre o que a instituição faz e o que a sociedade entende","Problema delimitado, pergunta central definida e foco claro para o trabalho de tradução visual."
169,M014,Estúdio de Design para Auditoria,Passo 2,Identificar quem vive o problema e como ele é percebido,"A equipe identifica **quem vive diretamente o problema público** e **como essas pessoas o percebem na prática**. O objetivo não é apenas listar organizações ou especialistas, mas compreender a experiência concreta de cidadãos e cidadãs afetados pelo funcionamento do sistema.

Esse mapeamento pode incluir, por exemplo:

* usuários de serviços públicos
* consumidores afetados por regulações
* moradores de territórios impactados por políticas públicas
* profissionais de linha de frente que lidam com o problema diariamente

Sempre que possível, a equipe também identifica **intermediários de confiança** que ajudam a aproximar a escuta desses grupos, como escolas, associações comunitárias, organizações da sociedade civil ou conselhos locais.

Nesse passo, a pergunta central deixa de ser apenas “como o sistema funciona?” e passa a ser também **“como esse sistema é vivido por quem depende dele?”**. Essa mudança permite revelar barreiras de acesso, confusões de linguagem, expectativas frustradas e pontos onde o processo institucional se torna difícil de compreender.

O objetivo não é realizar pesquisa extensa, mas **recolher percepções suficientes para orientar a construção das representações visuais** que serão produzidas nos passos seguintes.",Identificação clara dos grupos afetados pelo problema e compreensão inicial de como o tema é percebido por cidadãos e cidadãs.
180,M014,Estúdio de Design para Auditoria,Passo 3,Reunir insumos de escuta e materiais já existentes,"A equipe organiza **informações já disponíveis** sobre o problema antes de iniciar a construção da representação visual. O objetivo é evitar retrabalho e garantir que o método parta de conhecimento já produzido.

Esses insumos podem incluir:

* registros de escuta cidadã já realizados
* relatos de cidadãos e cidadãs obtidos em entrevistas, consultas ou canais institucionais
* documentos institucionais que descrevem processos ou responsabilidades
* fluxos administrativos, normas ou orientações operacionais
* materiais de comunicação já utilizados para explicar o tema

Nesta etapa, a equipe não busca analisar profundamente todo o material. O foco é **reunir e organizar os elementos que ajudam a compreender como o problema se apresenta para cidadãos e cidadãs e como ele é tratado pela instituição**.

Quando esses materiais são colocados lado a lado, costuma aparecer uma primeira diferença importante entre **o funcionamento formal do processo** e **a forma como ele é vivido ou entendido pela população**. Essa diferença orientará os passos seguintes.",Conjunto organizado de materiais que descrevem o problema tanto do ponto de vista institucional quanto da experiência cidadã.
181,M014,Estúdio de Design para Auditoria,Passo 4,Definir qual pergunta a representação visual precisa responder,"A equipe define **qual pergunta central a representação visual deve esclarecer**. O objetivo não é mostrar tudo sobre o problema, mas explicar **aquilo que hoje gera maior dúvida, confusão ou dificuldade de entendimento**.

A pergunta deve ser simples e direta. Exemplos:

* onde cidadãos e cidadãs encontram barreiras no processo?
* em qual etapa as responsabilidades institucionais deixam de ficar claras?
* por que um processo aparentemente simples se torna difícil de acessar ou compreender?
* em que ponto a comunicação institucional deixa de fazer sentido para o público?

Essa pergunta orienta a escolha do tipo de representação visual que será produzida no passo seguinte. Dependendo do caso, pode ser mais útil construir:

* um **fluxo institucional** que mostre como decisões e procedimentos se encadeiam
* uma **jornada cidadã** que mostre como o processo é vivido por quem depende dele
* um **mapa de sistema** que mostre relações entre diferentes atores

Ao definir essa pergunta antes de desenhar qualquer diagrama, a equipe evita produzir representações genéricas ou excessivamente complexas.",Pergunta clara que orienta a construção da representação visual e define qual aspecto do problema precisa ser explicado.
182,M014,Estúdio de Design para Auditoria,Passo 5,Mapear a jornada cidadã e o fluxo institucional do problema,"A equipe constrói duas visões do mesmo problema e as coloca lado a lado.

A primeira visão descreve **a jornada cidadã**. Ela mostra como cidadãos e cidadãs vivem o processo na prática. Quais passos precisam seguir, onde encontram informação, onde surgem dúvidas, atrasos ou desistências.

A segunda visão descreve **o fluxo institucional**. Ela mostra como o processo funciona dentro das instituições. Quais órgãos participam, quais decisões são tomadas e como as responsabilidades se distribuem.

Quando essas duas visões são colocadas no mesmo mapa, costuma aparecer um ponto central do problema: **o desencontro entre o funcionamento institucional e a experiência vivida pela população**. Em muitos casos, a dificuldade não está apenas na regra ou no processo, mas na forma como ele se apresenta para quem depende dele.

Esse mapeamento pode ser feito de forma simples, utilizando quadros, diagramas ou esquemas visuais que mostrem:

* etapas do processo
* atores envolvidos
* momentos de decisão
* pontos de fricção ou confusão

O objetivo não é produzir um desenho final. O objetivo é **tornar visível onde o sistema se torna difícil de entender ou de acessar**.","Mapa inicial que mostra a relação entre jornada cidadã e funcionamento institucional, revelando pontos de fricção ou desencontro."
183,M014,Estúdio de Design para Auditoria,Passo 6,Construir a primeira representação visual do problema,"A equipe transforma o mapa inicial em **uma primeira representação visual estruturada** do problema. Essa representação pode assumir diferentes formatos, dependendo da pergunta definida anteriormente, como:

* fluxo que mostra etapas e decisões do processo
* jornada cidadã que mostra a experiência vivida ao longo do caminho
* diagrama que mostra relações entre atores e responsabilidades
* esquema que explica como diferentes partes do sistema se conectam

Nesta etapa, o objetivo não é produzir a versão final. A equipe constrói **um protótipo visual inicial**, capaz de tornar visível o funcionamento do problema e facilitar a discussão coletiva.

Esse primeiro desenho ajuda a revelar elementos que estavam dispersos nos materiais reunidos anteriormente. Muitas vezes aparecem:

* etapas redundantes
* responsabilidades pouco claras
* pontos onde a informação se perde
* momentos em que cidadãos e cidadãs deixam de entender o processo

A representação deve priorizar **clareza e estrutura**, mesmo que ainda esteja incompleta. É preferível um diagrama simples que ajude a entender o problema do que uma representação detalhada, porém confusa.","Primeira versão visual do problema, permitindo que a equipe visualize o sistema e discuta suas partes de forma concreta."
184,M014,Estúdio de Design para Auditoria,Passo 7,Revisar e simplificar com foco em linguagem clara,"A equipe revisa a representação visual construída no passo anterior com o objetivo de **torná-la mais clara, simples e compreensível**. Nesse momento, o foco deixa de ser apenas mostrar o funcionamento do problema e passa a ser **explicar o problema de forma inteligível**.

A equipe analisa o diagrama ou mapa e realiza ajustes como:

* retirar etapas que não são essenciais para compreender o problema
* substituir termos técnicos por linguagem simples
* reorganizar a sequência das etapas para facilitar a leitura
* destacar pontos onde surgem barreiras ou confusão para cidadãos e cidadãs

Também é importante verificar se a representação responde de forma direta à pergunta definida no início do processo. Quando um mapa tenta mostrar muitas coisas ao mesmo tempo, ele tende a perder clareza.

A simplificação não significa reduzir a complexidade do problema. Significa **organizar essa complexidade de forma que possa ser compreendida por quem não domina a linguagem institucional**.","Versão mais clara da representação visual, com linguagem simples e estrutura fácil de compreender."
185,M014,Estúdio de Design para Auditoria,Passo 8,Testar a compreensão com pessoas internas e externas,"A equipe apresenta a representação visual a pessoas que **não participaram diretamente da sua construção**. O objetivo é verificar se o material realmente explica o problema de forma clara.

Esse teste pode ser feito com:

* equipes técnicas de outras áreas
* profissionais que atuam diretamente no tema
* cidadãos e cidadãs ou intermediários ligados ao problema

A equipe observa se essas pessoas conseguem entender:

* qual é o problema representado
* como o processo funciona
* onde estão as principais dificuldades ou pontos críticos

Se surgirem dúvidas recorrentes ou interpretações equivocadas, a representação deve ser ajustada. Esse passo ajuda a identificar trechos que ainda dependem de linguagem técnica ou que permanecem confusos.

O teste de compreensão é rápido e não exige pesquisa extensa. Ele funciona como uma verificação simples: **se alguém que não participou da construção consegue entender o material, a representação está cumprindo seu objetivo**.",Ajustes na representação visual a partir de dúvidas ou dificuldades de compreensão identificadas no teste.
186,M014,Estúdio de Design para Auditoria,Passo 9,"Consolidar a versão final para uso interno
","Após os ajustes realizados no teste de compreensão, a equipe consolida **a versão final da representação visual** do problema. O material passa a ter estrutura estável e pode ser utilizado para apoiar análise, discussão interna e preparação de produtos institucionais.

Nessa etapa, a equipe verifica se o material apresenta de forma clara:

* o problema público trabalhado
* a relação entre experiência cidadã e funcionamento institucional
* os pontos de fricção ou dificuldade identificados
* a sequência lógica do processo ou sistema analisado

Também é importante garantir que a representação esteja organizada de forma que possa ser reutilizada em diferentes contextos, como reuniões de equipe, apresentações institucionais ou elaboração de documentos.

A consolidação não significa congelar o material para sempre. Significa **definir uma versão suficientemente clara e consistente para uso institucional**.","Representação visual consolidada, pronta para apoiar análise interna e preparação de produtos institucionais."
187,M014,Estúdio de Design para Auditoria,Passo 10,Produzir devolutiva compreensível para a sociedade,"A equipe adapta a representação visual consolidada para produzir **uma explicação simples e compreensível do problema para cidadãos e cidadãs**. O objetivo é transformar o material técnico em uma forma de comunicação que possa ser entendida por quem não domina a linguagem institucional.

Essa devolutiva pode assumir formatos simples, como:

* síntese visual em linguagem simples
* infográfico explicando o funcionamento do problema
* apresentação curta utilizada em reuniões ou oficinas
* material digital que explique o processo de forma clara

Nesse momento, a equipe verifica se a comunicação responde a três perguntas fundamentais:

* qual é o problema explicado
* como ele funciona na prática
* onde estão as principais dificuldades identificadas

Também é importante deixar claro **o que pode ou não ser feito institucionalmente** a partir da análise realizada. Isso ajuda a reduzir expectativas irreais e fortalece a transparência da comunicação.

A devolutiva não precisa ser extensa. O mais importante é que **cidadãos e cidadãs consigam compreender o problema e reconhecer como suas experiências foram consideradas na análise**.","Material de devolutiva claro, acessível e compreensível para públicos não especializados."
190,M015,Cidadão Oculto,Passo 1,Enquadramento do problema e hipótese de auditoria,"A utilização do método de  Cliente Oculto começa pela definição do problema e da hipótese que a auditoria precisa testar. 

Escreva um termo de abertura com: serviço alvo, decisão que será subsidiada, hipótese testável e sinais observáveis. 

Defina limites de escopo, território e janela de coleta.


Exemplo adequado: testar se unidades básicas de saúde de um determinado território orientam sobre a triagem e o tempo de espera corretamente.

Exemplo inadequado: “avaliar o atendimento do governo” sem serviço, sem hipótese e sem recorte.",Termo de abertura concluído com hipótese e sinais observáveis definidos.
191,M015,Cidadão Oculto,Passo 2,Jornada e pontos de contato a serem testados,"Para iniciar o método, mapeie a jornada do usuário e escolha os pontos de contato onde a hipótese pode ser observada.
Essa etapa existe para transformar atendimento em etapas verificáveis.

Liste canais e toque apenas no que é necessário: presencial, telefone, e-mail, WhatsApp institucional, site, aplicativo. 

Escolha 2 a 4 pontos de contato por ciclo. ",Jornada definida e lista de pontos de contato priorizados.
192,M015,Cidadão Oculto,Passo 3,Padrão esperado e critérios de avaliação,"Defina o padrão esperado do serviço para cada ponto de contato. Essa etapa existe para comparar observado versus esperado, sem depender de opinião.

Para cada etapa, registre critérios objetivos: clareza da orientação, completude da informação, tempo de resposta, encaminhamento correto, acessibilidade, urbanidade e previsibilidade do fluxo.","Critérios objetivos definidos por etapa, com padrão esperado registrado."
193,M015,Cidadão Oculto,Passo 4,"Regras éticas, privacidade e segurança","Defina salvaguardas antes de desenhar cenários. Essa etapa existe para reduzir risco jurídico, evitar exposição e proteger cidadãos e servidores.

Regras mínimas: não coletar dados pessoais de terceiros; não registrar nomes de servidores no formulário público; não fotografar rostos ou documentos pessoais; registrar apenas evidência não sensível (ex.: folheto entregue, print de tela, foto de placa informativa sem pessoas).

Se houver gravação de áudio ou vídeo, só use quando houver base legal e regra institucional clara, com informação prévia adequada aos envolvidos. ",Protocolo de ética e privacidade aprovado e comunicado à equipe.
194,M015,Cidadão Oculto,Passo 5,Desenho de cenários e roteiros de interação,"Crie cenários padronizados para que diferentes cidadãos possam executar de forma comparável. 

Essa etapa existe para garantir validade do método.

Para cada cenário, escreva: contexto do cidadão, objetivo da interação, perguntas-chave, limites do que pode ser dito e o que deve ser observado.

Regra prática: cenário precisa ser relevante, crível, ético, prático, seguro e objetivo. ","Biblioteca de cenários e roteiros pronta, com limites e observáveis definidos."
195,M015,Cidadão Oculto,Passo 6,Instrumento de registro e evidência mínima,"Construa um formulário padrão com respostas fechadas e campo curto de evidência. 

Essa etapa existe para padronizar e comparar resultados.Estrutura recomendada por visita: data e hora, canal, etapa da jornada, checklist sim/não, tempo (minutos), resultado da interação, evidência mínima (print, folheto, foto de placa) e observação de uma linha (“o que foi dito/feito”). ",Formulário de registro pronto e regra de evidência mínima definida.
196,M015,Cidadão Oculto,Passo 7,Plano de amostragem por condições de atendimento,"Defina quantas interações serão feitas e em quais condições. Essa etapa existe para cobrir variações reais (dias, horários, unidades), mesmo sem exigir amostra estatística.

Regra prática: realizar múltiplas visitas por unidade ou canal, em horários e dias diferentes, e cobrir condições relevantes (pico e baixa demanda). ","Plano de amostragem definido por local, canal, dia e horário."
197,M015,Cidadão Oculto,Passo 8,Recrutamento de cidadãos e critérios de perfil,"Recrute cidadãos e cidadãs que representem o público usuário do serviço. Essa etapa existe para que o cenário seja natural e para reduzir viés de perfil.

Recrute pessoas com perfis diversos (pessoas com deficiência, pessoas de grupos subrepresentados) para acessar informações sob o acesso de recortes vulnerabilizados e obter uma visão equitativa. ",Lista de cidadãos selecionados com perfis registrados e critérios de diversidade definidos.
198,M015,Cidadão Oculto,Passo 9,Capacitação do cidadão como “cliente oculto”,"Treine os cidadãos antes da execução. Essa etapa existe para padronizar aplicação, evitar indução e reduzir risco de exposição.

Treino mínimo, com simulação: explicar o roteiro, como medir tempo, como registrar evidência, como encerrar se houver risco, e o que não fazer (não acusar, não discutir culpa, não insistir em dados pessoais). 

Treinar também escrita objetiva: “foi informado X”, “foi negado Y”, “tempo de espera Z”. ",Cidadãos capacitados com simulação concluída e checklist de conduta assinado.
199,M015,Cidadão Oculto,Passo 10,Piloto e calibração,"Rode um piloto curto com 2 a 5 interações. Essa etapa existe para ajustar cenário, formulário e linguagem antes de escalar. Se houver dúvidas repetidas no roteiro ou campos que geram confusão, revise e registre versão.","Piloto concluído, ajustes aplicados e versão do instrumento estabilizada."
200,M015,Cidadão Oculto,Passo 11,Execução controlada das interações,"Execute as interações conforme o plano. Essa etapa existe para produzir dados comparáveis e rastreáveis.

Regra prática: seguir o roteiro, registrar imediatamente após a interação e anexar evidência mínima. Se houver hostilidade ou risco, encerrar e registrar incidente sem discutir.",Interações realizadas com registros completos e evidências anexadas.
201,M015,Cidadão Oculto,Passo 12,"Triagem, curadoria e log de tratamento","Faça triagem do que entra na base final. Essa etapa existe para estabilizar qualidade e reduzir risco.

Entra se: registro completo, percepções mínimas anexadas quando aplicável e sem dados pessoais indevidos. 

Não entra se: faltam data/hora, faltam respostas críticas, ou há exposição de terceiros. Toda correção deve ser registrada em log com data e motivo.",Base consolidada com log de curadoria e regras aplicadas.
202,M015,Cidadão Oculto,Passo 13,"Análise, triangulação e geração de percepções","Transforme registros em achados.

Essa etapa existe para sair de casos isolados e chegar a padrões verificáveis. Analise por: etapa da jornada, unidade/canal, horário e tipo de perfil. Identifique padrões como informação incompleta, orientação divergente, tempo de resposta fora do padrão, barreiras de acesso e encaminhamento inadequado. Triangule com normas, dados administrativos, ouvidoria e evidência documental antes de fechar recomendações. ","Registros estruturados, com padrões, limites e necessidade de confirmação registrada."
203,M015,Cidadão Oculto,Passo 14,Produtos de auditoria e devolutiva,"Feche o ciclo traduzindo o método em insumos de auditoria. Essa etapa existe para transformar experiência em recomendações direcionadas ao órgão responsável, com rastreabilidade.

Entregáveis recomendados: nota metodológica, base de registros, log de versões, aprendizados com trilha de insumos para a auditoria, pedidos de insumos para auditoria ao órgão, recomendações com mecanismo de mudança e prazo sugerido, e plano de acompanhamento. 

Faça devolutiva pública sem dados sensíveis e devolutiva técnica com registro de resposta institucional. ","Devolutiva realizada, resposta institucional registrada e pacote de insumos de auditoria pronto."
222,M016,Plataforma (Hub) de Participação Social,Passo 1,"Publicação do termo de abertura do ciclo, objetivo da participação e calendário","Para iniciar a Paltaformar (Hub) de Participação Social, defina o ciclo de participação e o que será decidido ao final do processo. Essa etapa existe para evitar participação contínua sem fechamento e sem impacto na atuação institucional.

O termo de abertura deve apresentar, de forma clara, as regras básicas do ciclo. Recomenda se registrar o conteúdo em um documento curto, preferencialmente de uma página.

O documento deve incluir:

• objetivo do ciclo de participação
• o que será priorizado pelas pessoas participantes (temas)
• número de temas que serão selecionados
• calendário completo do processo
• data prevista para publicação do resultado

Também é importante indicar quem será responsável pela condução do ciclo e pela publicação dos resultados.

Exemplo adequado
Janela de envio de propostas em setembro.
Período de apoios e comentários no final de setembro.
Triagem e consolidação das propostas em outubro.
Seleção institucional dos temas em janeiro.
Publicação dos temas escolhidos com explicação das decisões.

Exemplo inadequado
Plataforma permanentemente aberta, sem calendário definido, sem regras de seleção e sem data de devolutiva pública.","Ciclo de participação definido, com calendário público, regras claras de funcionamento, responsáveis institucionais identificados e data de publicação do resultado."
223,M016,Plataforma (Hub) de Participação Social,Passo 2,Definição e publicação dos critérios de admissibilidade de temas,"Antes de abrir o envio de propostas, defina e publique critérios de admissibilidade em linguagem simples. Essa etapa existe para reduzir frustração entre as pessoas participantes e evitar que temas fora da competência institucional gerem volume de propostas que não poderão ser considerados.

Os critérios devem orientar cidadãs e cidadãos sobre que tipo de tema pode ser analisado. Também devem orientar a equipe responsável pela triagem inicial das propostas.

Regras mínimas recomendadas:

• o tema deve se relacionar ao uso de recursos públicos ou à atuação de órgãos públicos
• o tema deve ser formulado como objeto verificável
• o tema deve permitir delimitação de escopo, território ou período
• o tema não pode depender exclusivamente de opinião ou preferência pessoal

Esses critérios devem ser publicados junto com a abertura do ciclo na Plataforma (Hub) de Participação Social.

Exemplo adequado
“Fila e agendamento no atendimento do serviço X em municípios Y, com indício de gasto ineficiente e barreira de acesso.”

Exemplo inadequado
“Melhorar a educação do país inteiro”, sem objeto verificável, sem recorte territorial e sem indicação de problema específico.",Critérios de admissibilidade publicados na Plataforma (Hub) de Participação Social e checklist de verificação preparado para uso na etapa de triagem das propostas.
224,M016,Plataforma (Hub) de Participação Social,Passo 3,Estruturação do formulário de proposta com campos obrigatórios,"Configure a Plataforma (Hub) de Participação Social para receber propostas utilizando um formulário com estrutura fixa. Essa etapa existe para permitir organização, comparação e consolidação das propostas recebidas.

O formulário deve orientar cidadãs e cidadãos a descrever o problema de forma clara e verificável. A linguagem utilizada deve ser simples e direta.

Campos obrigatórios recomendados:

• título do tema
• descrição curta do problema
• quem é afetado pelo problema
• onde o problema ocorre (local ou território)
• qual evidência a pessoa participante já observou, como documento público, experiência direta ou notícia
• qual pergunta o tema deveria responder

Esses campos ajudam a transformar relatos dispersos em propostas comparáveis e facilitam a etapa posterior de consolidação em temas.

Exemplo adequado
Proposta que identifica o território, o serviço público afetado e indica o que deveria ser observado na investigação.

Exemplo inadequado
Texto livre sem indicação de local, sem identificação do serviço público envolvido e sem pergunta clara sobre o problema.",Formulário padronizado publicado na Plataforma (Hub) de Participação Social e pronto para receber propostas estruturadas.
225,M016,Plataforma (Hub) de Participação Social,Passo 4,Configuração das fases do processo participativo na plataforma,"Configure na Plataforma (Hub) de Participação Social as fases que compõem o ciclo de participação. Essa etapa existe para que cidadãs e cidadãos compreendam em que momento do processo estão participando e quais serão os próximos passos.

Cada fase deve ter um objetivo claro e indicar o que será feito com as contribuições recebidas. Isso evita dúvidas sobre o funcionamento do processo e aumenta a transparência do ciclo.

Fases recomendadas:

• envio de propostas
• apoios e comentários sobre as propostas
• triagem de admissibilidade
• consolidação de propostas em temas
• priorização ou votação final
• publicação do resultado
• acompanhamento dos temas selecionados

Uma regra prática é que nenhuma fase deve existir sem explicar qual decisão será tomada a partir do que foi coletado naquela etapa.","Fases do ciclo de participação configuradas e visíveis na Plataforma (Hub) de Participação Social, com descrição clara do objetivo de cada etapa e do uso das contribuições recebidas."
226,M016,Plataforma (Hub) de Participação Social,Passo 5,Estratégia de mobilização e definição de pontos de apoio,"Planeje como cidadãs e cidadãos serão informados e chegarão à Plataforma (Hub) de Participação Social. Essa etapa existe para reduzir viés de participação e ampliar a diversidade de temas e de participantes.

A mobilização deve combinar diferentes canais de comunicação e, quando necessário, oferecer apoio para participação assistida. Isso é importante quando há barreiras digitais, dificuldades de acesso à internet ou necessidade de apoio para uso da plataforma.

O plano de mobilização deve identificar os canais de divulgação e os pontos de apoio onde pessoas possam registrar propostas com auxílio.

Elementos recomendados no planejamento:

• definição dos canais de divulgação do ciclo de participação
• produção de comunicação em linguagem simples
• identificação de pontos de apoio para participação assistida
• orientação para equipes que atuarão nesses pontos
• metas mínimas de diversidade territorial e de perfis de pessoas usuárias de serviços públicos

Essas metas ajudam a evitar concentração excessiva de contribuições em um único território ou grupo de participantes.

Exemplo adequado
Disponibilizar apoio presencial em pontos de atendimento ao cidadão e realizar comunicação pública em linguagem simples, com orientações claras sobre como participar.

Exemplo inadequado
Divulgar apenas em rede social institucional e permitir participação somente por cadastro online, sem oferecer alternativas para pessoas com menor acesso digital.","Plano de mobilização executável, com canais de comunicação definidos, pontos de apoio identificados e orientações claras para ampliar diversidade de participação na Plataforma (Hub) de Participação Social."
227,M016,Plataforma (Hub) de Participação Social,Passo 6,Recebimento das propostas e registro com protocolo público,"Abra a etapa de envio de propostas na Plataforma (Hub) de Participação Social com prazo definido. Essa etapa existe para organizar o volume de contribuições e garantir comparabilidade entre ciclos de participação.

Durante esse período, cidadãs e cidadãos podem registrar propostas por meio do formulário estruturado. Cada proposta enviada deve gerar automaticamente um número de protocolo, permitindo que a contribuição seja acompanhada ao longo do processo.

O protocolo garante rastreabilidade e transparência, permitindo que a pessoa participante saiba que sua proposta foi registrada e em qual etapa do processo ela se encontra.

Regra prática
Toda proposta recebida deve possuir um número de protocolo e um status de acompanhamento visível na Plataforma (Hub) de Participação Social.

Se a proposta estiver incompleta, a equipe responsável pode devolvê la uma única vez para complementação. Nesse caso, deve ser indicado quais campos precisam ser preenchidos e estabelecido um prazo curto para atualização.

Exemplo adequado
A proposta recebe automaticamente um número de protocolo no momento do envio. Caso falte algum campo obrigatório, o sistema registra o status “aguardando complementação” até que a pessoa participante complete as informações.

Exemplo inadequado
Receber propostas por canais paralelos, como e-mail ou mensagem direta, sem registro na plataforma e sem número de protocolo.",Propostas registradas na Plataforma (Hub) de Participação Social com número de protocolo e indicação clara do status de completude.
228,M016,Plataforma (Hub) de Participação Social,Passo 7,Triagem de admissibilidade das propostas,"Realize a triagem das propostas utilizando critérios objetivos previamente publicados. Essa etapa existe para separar as propostas que podem ser transformadas em temas investigáveis daquelas que precisam ser ajustadas ou redirecionadas.

A triagem deve verificar se cada proposta atende aos critérios de admissibilidade definidos no início do ciclo. O processo deve ser conduzido de forma padronizada e documentada.

Para cada proposta, a equipe responsável deve registrar uma das seguintes decisões:

• admitida
• admitida com ajuste de escopo
• não admitida

Quando houver ajuste de escopo, a equipe pode reformular o enunciado do tema para torná lo mais claro e delimitado, preservando o problema apresentado pela pessoa participante.

Quando a proposta não puder ser admitida, o motivo deve ser registrado utilizando categorias padronizadas.

Motivos comuns de não admissão incluem:

• fora do escopo institucional
• descrição genérica sem objeto verificável
• ausência de relação com uso de recursos públicos
• risco de exposição indevida de pessoas ou informações sensíveis

A decisão e a justificativa devem permanecer registradas na Plataforma (Hub) de Participação Social, garantindo transparência do processo.

Exemplo adequado
“Não admitida por falta de recorte do problema. Sugere se reenviar a proposta indicando território e serviço público envolvido.”

Exemplo inadequado
Excluir a proposta da plataforma sem explicação ou registro do motivo.",Lista de propostas admitidas publicada na Plataforma (Hub) de Participação Social e lista de propostas não admitidas acompanhada de justificativa padronizada.
229,M016,Plataforma (Hub) de Participação Social,Passo 8,Publicação da lista de propostas admitidas e critérios aplicados,"Após a triagem de admissibilidade, analise as propostas admitidas para identificar conteúdos semelhantes ou repetidos. Essa etapa existe para evitar que grande número de propostas sobre o mesmo assunto distorça o processo de priorização.

Quando propostas diferentes tratam do mesmo problema, elas podem ser consolidadas em um único tema. A consolidação deve preservar o sentido das contribuições recebidas e tornar o enunciado do tema mais claro e comparável com os demais.

Sempre que ocorrer consolidação, registre de forma transparente quais propostas deram origem ao tema consolidado e quais critérios foram utilizados para o agrupamento.

Regra prática
Nenhuma proposta deve desaparecer do processo sem registro. O histórico de origem precisa permanecer visível na Plataforma (Hub) de Participação Social.

Essa transparência permite que cidadãs e cidadãos reconheçam que sua contribuição foi considerada no processo de consolidação.

Exemplo adequado
Trinta propostas sobre o mesmo problema são agrupadas em um único tema, com descrição consolidada e lista das propostas de origem registrada na plataforma.

Exemplo inadequado
Excluir propostas consideradas duplicadas sem registrar o agrupamento e sem manter visível a relação com o tema consolidado.","Lista pública de propostas admitidas disponível na Plataforma (Hub) de Participação Social, acompanhada de referência aos critérios de admissibilidade aplicados e registro transparente das decisões de triagem."
